FIPS,County,State,Total,Under 18,18 to 64,Over 64,Below 9th grade,High School,College,Advanced Degree,White,Black,Hispanic,Asian,Other_Races,Urban_Percentage
33001,Belknap County,New Hampshire,61174,0.18434302154510085,0.5952201915846601,0.220436786870239,0.015503026050346461,0.8860845539864924,0.3169897377423033,0.13253223401456013,0.9456468434302154,0.00609736162421944,0.01770359956844411,0.010184065125707,0.020368130251414,0.3372
33003,Carroll County,New Hampshire,48461,0.15546521945481934,0.5616475103691628,0.28288727017601784,0.01096589265521866,0.9082231046361795,0.36968469771478163,0.15239172167144396,0.9551598192360867,0.00520005777841976,0.015311281236458182,0.007428653969171086,0.016900187779864222,0.098
33005,Cheshire County,New Hampshire,76040,0.1788269331930563,0.6217122567069964,0.1994608100999474,0.021967347853700452,0.896103410916427,0.3370568237008256,0.12515410766989202,0.9389663335086796,0.007745923198316676,0.01935823250920568,0.009258285113098369,0.024671225670699633,0.3498
33007,Coos County,New Hampshire,31486,0.1625801943721019,0.6005208664168201,0.23689893921107794,0.040377405133698654,0.8076717069754027,0.1967368464422562,0.0711960776235013,0.9425458934129455,0.019373689893921107,0.0188020072413136,0.005399225052404243,0.013879184399415613,0.3376
33009,Grafton County,New Hampshire,90331,0.16111855287774962,0.6330606325624647,0.20582081455978568,0.023155686372745492,0.8942102955911824,0.42123309118236474,0.20750876753507014,0.8989162081677387,0.01170140926149384,0.025074448417486798,0.034794256678216784,0.02951367747506393,0.3128
33011,Hillsborough County,New Hampshire,415305,0.20460625323557385,0.6383886541216696,0.15700509264275653,0.02825595371483285,0.8815674211094587,0.3861375381126028,0.14062446947935978,0.836842802277844,0.022405220259809056,0.07076004382321427,0.04150443649847702,0.02848749714065566,0.7881
33013,Merrimack County,New Hampshire,150902,0.19135597937734425,0.6256378311751998,0.18300618944745597,0.02282136539191805,0.8835035982550546,0.3578156693124878,0.1547573840639443,0.9192986176458894,0.014380193768140913,0.02270347642841049,0.02068892393738983,0.02292878822016938,0.4539
33015,Rockingham County,New Hampshire,308211,0.1939320789978294,0.6276090081145709,0.17845891288759974,0.01317909632858519,0.9224390871844497,0.41864160759229585,0.1555346434009082,0.9195713326260256,0.008056169312581317,0.03131296417064933,0.020161512729915544,0.020898021160828135,0.751
33017,Strafford County,New Hampshire,130161,0.18416422737993715,0.664884258725732,0.15095151389433087,0.023600950561483622,0.8856064489073202,0.3521038162247798,0.12452821396952611,0.900046865036378,0.00968800178240794,0.026513318121403492,0.034541836648458446,0.029209978411352096,0.6759999999999999
33019,Sullivan County,New Hampshire,43173,0.1865981052972923,0.5989623144094689,0.21443958029323884,0.026056206960729574,0.8517898132638501,0.29623425770829453,0.10841243253303555,0.9444328631320501,0.005628517823639775,0.01674657772218748,0.007620503555462905,0.025571537766659717,0.35840000000000005
50001,Addison County,Vermont,36947,0.16675237502368256,0.6327171353560506,0.20053048962026687,0.016979515538593348,0.9138562193317237,0.4095723966040969,0.15951398083962925,0.9229166102795897,0.01004141066933716,0.02395323030286627,0.019460308008769318,0.023628440739437574,0.2157
50003,Bennington County,Vermont,35649,0.18858874021711688,0.5850654997335129,0.22634576004937024,0.019925329141285125,0.8903124385930438,0.3747691098447632,0.1549223816073885,0.9367163174282589,0.007629947544110634,0.02112261213498275,0.009004460153159977,0.025526662739487782,0.35490000000000005
50005,Caledonia County,Vermont,30027,0.19285975954973858,0.5984946881140307,0.20864555233623072,0.021753246753246754,0.8846474953617811,0.3066790352504638,0.11215213358070501,0.9414193892163719,0.006061211576248044,0.01721783727978153,0.003463549472141739,0.031838012455456755,0.2561
50007,Chittenden County,Vermont,163414,0.17779382427454196,0.6713378290721725,0.15086834665328552,0.01865585489069701,0.9262909020382907,0.5261228146328398,0.21546588841582237,0.8797532647141616,0.02543845692535523,0.02420845215220238,0.037695668669759014,0.03290415753852179,0.7401000000000001
50009,Essex County,Vermont,6179,0.17268166369962776,0.5654636672600745,0.2618546690402978,0.027789473684210527,0.8136842105263158,0.18442105263157896,0.08610526315789474,0.9498300695905486,0.0074445703188218155,0.01391810972649296,0.004369639100178022,0.024437611263958568,0.0
50011,Franklin County,Vermont,49275,0.222181633688483,0.6161745306950787,0.16164383561643836,0.03462463419581027,0.8654130327702605,0.2650595427809811,0.09413844058760468,0.9368239472349061,0.003815322171486555,0.016600710299340436,0.007366818873668189,0.03539320142059868,0.2829
50013,Grand Isle County,Vermont,7075,0.17215547703180212,0.6209187279151943,0.20692579505300354,0.013258636788048552,0.9135387488328665,0.4222222222222222,0.17759103641456583,0.92113074204947,0.008904593639575971,0.020353356890459365,0.005371024734982332,0.04424028268551237,0.0
50015,Lamoille County,Vermont,25376,0.2039328499369483,0.6247635561160151,0.17130359394703656,0.012857944974733295,0.8842784952274003,0.4103874227961819,0.15176866928691746,0.9423076923076923,0.009063682219419925,0.018954918032786885,0.0026008827238335436,0.02707282471626734,0.0
50017,Orange County,Vermont,28873,0.1840127454715478,0.6052367263533405,0.2107505281751117,0.021788129226145755,0.8905897821187078,0.31949661908339594,0.15683696468820435,0.9523083849963634,0.004190766460014547,0.013784504554428012,0.003532712222491601,0.026183631766702454,0.0276
50019,Orleans County,Vermont,26843,0.196736579368923,0.5748239764556867,0.22843944417539022,0.03901719401770272,0.8491199511649201,0.2420388645843931,0.0933462203682979,0.9475468464776664,0.007338971053906046,0.015162239690049548,0.0018999366687777073,0.028052006109600267,0.147
50021,Rutland County,Vermont,58527,0.17685854391990022,0.6028499666820442,0.2202914893980556,0.020322633513614758,0.9077521013322095,0.3218608789304863,0.12106951370841235,0.9471184239752592,0.006783194081364157,0.015428776462145676,0.008389290412971791,0.022280315068259095,0.3899
50023,Washington County,Vermont,58336,0.18729429511793746,0.6171832144816237,0.19552249040043884,0.012993239679723833,0.9157357242172891,0.4369755957232584,0.18382317687107447,0.9370543060888645,0.007645364783324191,0.019661958310477234,0.009342430060340098,0.026295940756993964,0.4719
50025,Windham County,Vermont,42628,0.17899033499108566,0.5939992493196959,0.22701041568921834,0.012284625318927773,0.8928402683718146,0.3973918795476738,0.1716697640721958,0.9253073097494604,0.010767570610866098,0.024092146007319133,0.01210471990241156,0.02772825372994276,0.3175
50027,Windsor County,Vermont,55191,0.18108024859125582,0.5854034172238227,0.23351633418492146,0.013541791942273,0.9114131088394468,0.38361996392062536,0.16418520745640408,0.944827961080611,0.006649634904241634,0.018046420612056312,0.009766085050098749,0.020709898352992334,0.2441
